text	tokenized	tok_nostem	preprocessed	label
Your face ... which tells me how much you don't want to be here .	['your', 'face', 'which', 'tell', 'me', 'how', 'much', 'you', 'dont', 'want', 'to', 'be', 'here']	['your', 'face', 'which', 'tells', 'me', 'how', 'much', 'you', 'dont', 'want', 'to', 'be', 'here']	your face which tell me how much you dont want to be here	4
Your parents'll kill me .	['your', 'parentsl', 'kill', 'me']	['your', 'parentsll', 'kill', 'me']	your parentsl kill me	4
He's good - looking .	['hes', 'good', 'look']	['hes', 'good', 'looking']	hes good look	5
He's got it all worked out .	['hes', 'got', 'it', 'all', 'work', 'out']	['hes', 'got', 'it', 'all', 'worked', 'out']	hes got it all work out	5
He's home free .	['hes', 'home', 'free']	['hes', 'home', 'free']	hes home free	8, 5
He's in love .	['hes', 'in', 'love']	['hes', 'in', 'love']	hes in love	5
He's light - skinned , he loves his kids .	['hes', 'light', 'skin', 'he', 'love', 'his', 'kid']	['hes', 'light', 'skinned', 'he', 'loves', 'his', 'kids']	hes light skin he love his kid	5
He's mine !	['hes', 'mine']	['hes', 'mine']	hes mine	5
He's nice .	['hes', 'nice']	['hes', 'nice']	hes nice	5
He's perfect .	['hes', 'perfect']	['hes', 'perfect']	hes perfect	5
He's such a sweet thing .	['hes', 'such', 'a', 'sweet', 'thing']	['hes', 'such', 'a', 'sweet', 'thing']	hes such a sweet thing	8, 5
He's touched .	['hes', 'touch']	['hes', 'touched']	hes touch	5
He's very sweet .	['hes', 'veri', 'sweet']	['hes', 'very', 'sweet']	hes veri sweet	5
He's wonderful .	['hes', 'wonder']	['hes', 'wonderful']	hes wonder	5
[PERSON] was the fireball of our little cocoon .	['person', 'was', 'the', 'firebal', 'of', 'our', 'littl', 'cocoon']	['person', 'was', 'the', 'fireball', 'of', 'our', 'little', 'cocoon']	person was the firebal of our littl cocoon	8, 5
Heh . Heh .	['heh', 'heh']	['heh', 'heh']	heh heh	5
[PERSON] was a pretty good mountain climber .	['person', 'was', 'a', 'pretti', 'good', 'mountain', 'climber']	['person', 'was', 'a', 'pretty', 'good', 'mountain', 'climber']	person was a pretti good mountain climber	5
Hello , darling !	['hello', 'darl']	['hello', 'darling']	hello darl	8, 5
Hello , darling ! Hello , dear .	['hello', 'darl', 'hello', 'dear']	['hello', 'darling', 'hello', 'dear']	hello darl hello dear	8, 5
Hello , everybody .	['hello', 'everybodi']	['hello', 'everybody']	hello everybodi	5
Hello , Kid .	['hello', 'kid']	['hello', 'kid']	hello kid	5
Hello , sailor !	['hello', 'sailor']	['hello', 'sailor']	hello sailor	8, 5, 7
Hello , sunshine !	['hello', 'sunshin']	['hello', 'sunshine']	hello sunshin	5
Hello , sweet thing .	['hello', 'sweet', 'thing']	['hello', 'sweet', 'thing']	hello sweet thing	5
Hello , sweetheart !	['hello', 'sweetheart']	['hello', 'sweetheart']	hello sweetheart	5
Her visual image is perfect .	['her', 'visual', 'imag', 'is', 'perfect']	['her', 'visual', 'image', 'is', 'perfect']	her visual imag is perfect	5
Here [PERSON] is .	['here', 'person', 'is']	['here', 'person', 'is']	here person is	5
Here in the wilderness you have turned defeat into victory .	['here', 'in', 'the', 'wilder', 'you', 'have', 'turn', 'defeat', 'into', 'victori']	['here', 'in', 'the', 'wilderness', 'you', 'have', 'turned', 'defeat', 'into', 'victory']	here in the wilder you have turn defeat into victori	5
Here is one of the greatest attractions you'll ever see in your born days !	['here', 'is', 'one', 'of', 'the', 'greatest', 'attract', 'youll', 'ever', 'see', 'in', 'your', 'born', 'day']	['here', 'is', 'one', 'of', 'the', 'greatest', 'attractions', 'youll', 'ever', 'see', 'in', 'your', 'born', 'days']	here is one of the greatest attract youll ever see in your born day	5
Here they are in all their glory !	['here', 'they', 'are', 'in', 'all', 'their', 'glori']	['here', 'they', 'are', 'in', 'all', 'their', 'glory']	here they are in all their glori	5
Here , here , here . Oh - la - la .	['here', 'here', 'here', 'oh', 'la', 'la']	['here', 'here', 'here', 'oh', 'la', 'la']	here here here oh la la	5
Here , you take one too .	['here', 'you', 'take', 'one', 'too']	['here', 'you', 'take', 'one', 'too']	here you take one too	5
Here ... the Revolution started .	['here', 'the', 'revolut', 'start']	['here', 'the', 'revolution', 'started']	here the revolut start	5
Here's a great one .	['here', 'a', 'great', 'one']	['heres', 'a', 'great', 'one']	here a great one	5
Here's good news for you bachelors .	['here', 'good', 'news', 'for', 'you', 'bachelor']	['heres', 'good', 'news', 'for', 'you', 'bachelors']	here good news for you bachelor	5
Here's the , uh , camera , And the cassette recorder that you asked for . Thank you .	['here', 'the', 'uh', 'camera', 'and', 'the', 'cassett', 'record', 'that', 'you', 'ask', 'for', 'thank', 'you']	['heres', 'the', 'uh', 'camera', 'and', 'the', 'cassette', 'recorder', 'that', 'you', 'asked', 'for', 'thank', 'you']	here the uh camera and the cassett record that you ask for thank you	5
Here's to all that gorgeous snatch in FLA.	['here', 'to', 'all', 'that', 'gorgeous', 'snatch', 'in', 'fla']	['heres', 'to', 'all', 'that', 'gorgeous', 'snatch', 'in', 'fla']	here to all that gorgeous snatch in fla	5
Here's to bigger and better dopes .	['here', 'to', 'bigger', 'and', 'better', 'dope']	['heres', 'to', 'bigger', 'and', 'better', 'dopes']	here to bigger and better dope	5
Here's to us , top of the world .	['here', 'to', 'us', 'top', 'of', 'the', 'world']	['heres', 'to', 'us', 'top', 'of', 'the', 'world']	here to us top of the world	5
Hey Grandma !	['hey', 'grandma']	['hey', 'grandma']	hey grandma	5
Hey there , little buddy .	['hey', 'there', 'littl', 'buddi']	['hey', 'there', 'little', 'buddy']	hey there littl buddi	5
Hey you saved my life , so stop crying , huh ?	['hey', 'you', 'save', 'my', 'life', 'so', 'stop', 'cri', 'huh']	['hey', 'you', 'saved', 'my', 'life', 'so', 'stop', 'crying', 'huh']	hey you save my life so stop cri huh	5
Hey , baby .	['hey', 'babi']	['hey', 'baby']	hey babi	5
Hey , bike's been sold .	['hey', 'bike', 'been', 'sold']	['hey', 'bikes', 'been', 'sold']	hey bike been sold	5
Hey , don't worry !	['hey', 'dont', 'worri']	['hey', 'dont', 'worry']	hey dont worri	5
Hey , fella .	['hey', 'fella']	['hey', 'fella']	hey fella	5
Hey , honey .	['hey', 'honey']	['hey', 'honey']	hey honey	5
Hey , I love you .	['hey', 'i', 'love', 'you']	['hey', 'i', 'love', 'you']	hey i love you	5
Hey , it's another delightful day here in vacation land .	['hey', 'it', 'anoth', 'delight', 'day', 'here', 'in', 'vacat', 'land']	['hey', 'its', 'another', 'delightful', 'day', 'here', 'in', 'vacation', 'land']	hey it anoth delight day here in vacat land	5
Hey , [PERSON] , that's fantastic .	['hey', 'person', 'that', 'fantast']	['hey', 'person', 'thats', 'fantastic']	hey person that fantast	5
Hey , look at you !	['hey', 'look', 'at', 'you']	['hey', 'look', 'at', 'you']	hey look at you	5
Hey , look ! [PERSON] , [PERSON]'s out !	['hey', 'look', 'person', 'person', 'out']	['hey', 'look', 'person', 'persons', 'out']	hey look person person out	5, 7
Hey , professor !	['hey', 'professor']	['hey', 'professor']	hey professor	5
Hey , she loves those flabellina oculina !	['hey', 'she', 'love', 'those', 'flabellina', 'oculina']	['hey', 'she', 'loves', 'those', 'flabellina', 'oculina']	hey she love those flabellina oculina	5, 7
Hey , that's got a nice ring to it , kid .	['hey', 'that', 'got', 'a', 'nice', 'ring', 'to', 'it', 'kid']	['hey', 'thats', 'got', 'a', 'nice', 'ring', 'to', 'it', 'kid']	hey that got a nice ring to it kid	5
Hey , that's it .	['hey', 'that', 'it']	['hey', 'thats', 'it']	hey that it	5, 7
Hey , there's no one better than old [PERSON] .	['hey', 'there', 'no', 'one', 'better', 'than', 'old', 'person']	['hey', 'theres', 'no', 'one', 'better', 'than', 'old', 'person']	hey there no one better than old person	5
Hey , this is pretty nice , being served in my own home .	['hey', 'this', 'is', 'pretti', 'nice', 'be', 'serv', 'in', 'my', 'own', 'home']	['hey', 'this', 'is', 'pretty', 'nice', 'being', 'served', 'in', 'my', 'own', 'home']	hey this is pretti nice be serv in my own home	5
Hey , we got a free movie next door .	['hey', 'we', 'got', 'a', 'free', 'movi', 'next', 'door']	['hey', 'we', 'got', 'a', 'free', 'movie', 'next', 'door']	hey we got a free movi next door	5
Hey , what's up you guys ?	['hey', 'what', 'up', 'you', 'guy']	['hey', 'whats', 'up', 'you', 'guys']	hey what up you guy	5
Hey , you know me .	['hey', 'you', 'know', 'me']	['hey', 'you', 'know', 'me']	hey you know me	5
Hey , you're looking good .	['hey', 'your', 'look', 'good']	['hey', 'youre', 'looking', 'good']	hey your look good	5
Hey , you're very light on your feet .	['hey', 'your', 'veri', 'light', 'on', 'your', 'feet']	['hey', 'youre', 'very', 'light', 'on', 'your', 'feet']	hey your veri light on your feet	5
Hey ! I can't believe you got here !	['hey', 'i', 'cant', 'believ', 'you', 'got', 'here']	['hey', 'i', 'cant', 'believe', 'you', 'got', 'here']	hey i cant believ you got here	5, 7
Hey ! It's [PERSON] .	['hey', 'it', 'person']	['hey', 'its', 'person']	hey it person	5
Hey . Good work .	['hey', 'good', 'work']	['hey', 'good', 'work']	hey good work	5
Hey . I can't believe you got here .	['hey', 'i', 'cant', 'believ', 'you', 'got', 'here']	['hey', 'i', 'cant', 'believe', 'you', 'got', 'here']	hey i cant believ you got here	5, 7
Hey . I love you .	['hey', 'i', 'love', 'you']	['hey', 'i', 'love', 'you']	hey i love you	8, 5
Hi , Dad .	['hi', 'dad']	['hi', 'dad']	hi dad	5
Hi , fellas .	['hi', 'fella']	['hi', 'fellas']	hi fella	8, 5
Hi , honey .	['hi', 'honey']	['hi', 'honey']	hi honey	8, 5
Hi , Pa.[LOCATION]	['hi', 'paloc']	['hi', 'palocation']	hi paloc	8, 5
Hi , sister . - How are you , my child ?	['hi', 'sister', 'how', 'are', 'you', 'my', 'child']	['hi', 'sister', 'how', 'are', 'you', 'my', 'child']	hi sister how are you my child	8, 5
Hi , sweetheart .	['hi', 'sweetheart']	['hi', 'sweetheart']	hi sweetheart	8, 5
Hi .	['hi']	['hi']	hi	5
His words are too profound	['his', 'word', 'are', 'too', 'profound']	['his', 'words', 'are', 'too', 'profound']	his word are too profound	5, 7
Hmm , it's a nice place .	['hmm', 'it', 'a', 'nice', 'place']	['hmm', 'its', 'a', 'nice', 'place']	hmm it a nice place	5
Ho , ho ! - Ho ! - Ho , ho , ho !	['ho', 'ho', 'ho', 'ho', 'ho', 'ho']	['ho', 'ho', 'ho', 'ho', 'ho', 'ho']	ho ho ho ho ho ho	5
Home sweet home .	['home', 'sweet', 'home']	['home', 'sweet', 'home']	home sweet home	5
Honey , babe .	['honey', 'babe']	['honey', 'babe']	honey babe	8, 5
Honey !	['honey']	['honey']	honey	5
Hop on , no time to lose .	['hop', 'on', 'no', 'time', 'to', 'lose']	['hop', 'on', 'no', 'time', 'to', 'lose']	hop on no time to lose	8, 5
How ' bout a drink ?	['how', 'bout', 'a', 'drink']	['how', 'bout', 'a', 'drink']	how bout a drink	8, 5
How about that ? Hey , you're pretty handy to have around , kid .	['how', 'about', 'that', 'hey', 'your', 'pretti', 'handi', 'to', 'have', 'around', 'kid']	['how', 'about', 'that', 'hey', 'youre', 'pretty', 'handy', 'to', 'have', 'around', 'kid']	how about that hey your pretti handi to have around kid	5
How about we go and have a. . .	['how', 'about', 'we', 'go', 'and', 'have', 'a']	['how', 'about', 'we', 'go', 'and', 'have', 'a']	how about we go and have a	5
How beautiful they are	['how', 'beauti', 'they', 'are']	['how', 'beautiful', 'they', 'are']	how beauti they are	5
How can I help you ?	['how', 'can', 'i', 'help', 'you']	['how', 'can', 'i', 'help', 'you']	how can i help you	8, 5
How cheerfully he seems to grin	['how', 'cheer', 'he', 'seem', 'to', 'grin']	['how', 'cheerfully', 'he', 'seems', 'to', 'grin']	how cheer he seem to grin	5
How did you enjoy the ride ?	['how', 'did', 'you', 'enjoy', 'the', 'ride']	['how', 'did', 'you', 'enjoy', 'the', 'ride']	how did you enjoy the ride	5
How do you do ?	['how', 'do', 'you', 'do']	['how', 'do', 'you', 'do']	how do you do	5
How do you smell so good in a hospital ?	['how', 'do', 'you', 'smell', 'so', 'good', 'in', 'a', 'hospit']	['how', 'do', 'you', 'smell', 'so', 'good', 'in', 'a', 'hospital']	how do you smell so good in a hospit	5, 7
How does it feel ?	['how', 'doe', 'it', 'feel']	['how', 'does', 'it', 'feel']	how doe it feel	5
How fortunate we are to have [PERSON] with us .	['how', 'fortun', 'we', 'are', 'to', 'have', 'person', 'with', 'us']	['how', 'fortunate', 'we', 'are', 'to', 'have', 'person', 'with', 'us']	how fortun we are to have person with us	5
How good to see you !	['how', 'good', 'to', 'see', 'you']	['how', 'good', 'to', 'see', 'you']	how good to see you	5
How gorgeous !	['how', 'gorgeous']	['how', 'gorgeous']	how gorgeous	5
How lucky you lawyers are .	['how', 'lucki', 'you', 'lawyer', 'are']	['how', 'lucky', 'you', 'lawyers', 'are']	how lucki you lawyer are	5
How perfectly lovely .	['how', 'perfect', 'love']	['how', 'perfectly', 'lovely']	how perfect love	5
How romantic .	['how', 'romant']	['how', 'romantic']	how romant	5
How thoughtful .	['how', 'thought']	['how', 'thoughtful']	how thought	5
How very nice of you to say .	['how', 'veri', 'nice', 'of', 'you', 'to', 'say']	['how', 'very', 'nice', 'of', 'you', 'to', 'say']	how veri nice of you to say	5
How very nice to see you .	['how', 'veri', 'nice', 'to', 'see', 'you']	['how', 'very', 'nice', 'to', 'see', 'you']	how veri nice to see you	5
How wonderful !	['how', 'wonder']	['how', 'wonderful']	how wonder	5
How'd you like to have [PERSON] for a mother ? Or [PERSON] ?	['howd', 'you', 'like', 'to', 'have', 'person', 'for', 'a', 'mother', 'or', 'person']	['howd', 'you', 'like', 'to', 'have', 'person', 'for', 'a', 'mother', 'or', 'person']	howd you like to have person for a mother or person	5
How's is that , folks ?	['how', 'is', 'that', 'folk']	['hows', 'is', 'that', 'folks']	how is that folk	8, 5
How's it going ?	['how', 'it', 'go']	['hows', 'it', 'going']	how it go	5
[PERSON] -[PERSON] , we're safe !	['person', 'person', 'were', 'safe']	['person', 'person', 'were', 'safe']	person person were safe	5
Huh , just as well .	['huh', 'just', 'as', 'well']	['huh', 'just', 'as', 'well']	huh just as well	5, 7
Hurry , it's lovely up here	['hurri', 'it', 'love', 'up', 'here']	['hurry', 'its', 'lovely', 'up', 'here']	hurri it love up here	5
I adore it !	['i', 'ador', 'it']	['i', 'adore', 'it']	i ador it	5
I also love the King .	['i', 'also', 'love', 'the', 'king']	['i', 'also', 'love', 'the', 'king']	i also love the king	8, 5
I always said you was the whitest [N-WORD] I ever knew , [PERSON] .	['i', 'alway', 'said', 'you', 'was', 'the', 'whitest', 'nword', 'i', 'ever', 'knew', 'person']	['i', 'always', 'said', 'you', 'was', 'the', 'whitest', 'nword', 'i', 'ever', 'knew', 'person']	i alway said you was the whitest nword i ever knew person	5
I always seem to come up smalltime . Except all of a sudden now , this guy [PERSON] falls right in my lap out of sheer luck .	['i', 'alway', 'seem', 'to', 'come', 'up', 'smalltim', 'except', 'all', 'of', 'a', 'sudden', 'now', 'this', 'guy', 'person', 'fall', 'right', 'in', 'my', 'lap', 'out', 'of', 'sheer', 'luck']	['i', 'always', 'seem', 'to', 'come', 'up', 'smalltime', 'except', 'all', 'of', 'a', 'sudden', 'now', 'this', 'guy', 'person', 'falls', 'right', 'in', 'my', 'lap', 'out', 'of', 'sheer', 'luck']	i alway seem to come up smalltim except all of a sudden now this guy person fall right in my lap out of sheer luck	5, 7
I always think candlelight's so romantic .	['i', 'alway', 'think', 'candlelight', 'so', 'romant']	['i', 'always', 'think', 'candlelights', 'so', 'romantic']	i alway think candlelight so romant	5
I am a swan !	['i', 'am', 'a', 'swan']	['i', 'am', 'a', 'swan']	i am a swan	5
I am content .	['i', 'am', 'content']	['i', 'am', 'content']	i am content	5
I am exactly three inches high and it is a very good height indeed !	['i', 'am', 'exact', 'three', 'inch', 'high', 'and', 'it', 'is', 'a', 'veri', 'good', 'height', 'inde']	['i', 'am', 'exactly', 'three', 'inches', 'high', 'and', 'it', 'is', 'a', 'very', 'good', 'height', 'indeed']	i am exact three inch high and it is a veri good height inde	5
I am glad to see you .	['i', 'am', 'glad', 'to', 'see', 'you']	['i', 'am', 'glad', 'to', 'see', 'you']	i am glad to see you	5
I am glad you are better .	['i', 'am', 'glad', 'you', 'are', 'better']	['i', 'am', 'glad', 'you', 'are', 'better']	i am glad you are better	5
I am happy you're out of jail , [PERSON] .	['i', 'am', 'happi', 'your', 'out', 'of', 'jail', 'person']	['i', 'am', 'happy', 'youre', 'out', 'of', 'jail', 'person']	i am happi your out of jail person	5
I am satisfied by you , [PERSON] .	['i', 'am', 'satisfi', 'by', 'you', 'person']	['i', 'am', 'satisfied', 'by', 'you', 'person']	i am satisfi by you person	8, 5
I am seeing .	['i', 'am', 'see']	['i', 'am', 'seeing']	i am see	5
I am so proud of you .	['i', 'am', 'so', 'proud', 'of', 'you']	['i', 'am', 'so', 'proud', 'of', 'you']	i am so proud of you	8, 5
I am the avenger .	['i', 'am', 'the', 'aveng']	['i', 'am', 'the', 'avenger']	i am the aveng	5
I am thinking of you .	['i', 'am', 'think', 'of', 'you']	['i', 'am', 'thinking', 'of', 'you']	i am think of you	5
I am . I love you so much .	['i', 'am', 'i', 'love', 'you', 'so', 'much']	['i', 'am', 'i', 'love', 'you', 'so', 'much']	i am i love you so much	8, 5
I appreciate it .	['i', 'appreci', 'it']	['i', 'appreciate', 'it']	i appreci it	5
I appreciate that , Agent [PERSON] .	['i', 'appreci', 'that', 'agent', 'person']	['i', 'appreciate', 'that', 'agent', 'person']	i appreci that agent person	8, 5
I appreciate that , sir .	['i', 'appreci', 'that', 'sir']	['i', 'appreciate', 'that', 'sir']	i appreci that sir	5
I bet she's nice .	['i', 'bet', 'shes', 'nice']	['i', 'bet', 'shes', 'nice']	i bet shes nice	5
I bet you're gonna get a big promotion when this thing's over .	['i', 'bet', 'your', 'gonna', 'get', 'a', 'big', 'promot', 'when', 'this', 'thing', 'over']	['i', 'bet', 'youre', 'gonna', 'get', 'a', 'big', 'promotion', 'when', 'this', 'things', 'over']	i bet your gonna get a big promot when this thing over	5
I bought him the loveliest little sweater as a reward .	['i', 'bought', 'him', 'the', 'loveliest', 'littl', 'sweater', 'as', 'a', 'reward']	['i', 'bought', 'him', 'the', 'loveliest', 'little', 'sweater', 'as', 'a', 'reward']	i bought him the loveliest littl sweater as a reward	5
I came home because I didn't want to worry you .	['i', 'came', 'home', 'becaus', 'i', 'didnt', 'want', 'to', 'worri', 'you']	['i', 'came', 'home', 'because', 'i', 'didnt', 'want', 'to', 'worry', 'you']	i came home becaus i didnt want to worri you	8, 5
I can do anything .	['i', 'can', 'do', 'anyth']	['i', 'can', 'do', 'anything']	i can do anyth	5
I can hardly ever remember the audience being so excited .	['i', 'can', 'hard', 'ever', 'rememb', 'the', 'audienc', 'be', 'so', 'excit']	['i', 'can', 'hardly', 'ever', 'remember', 'the', 'audience', 'being', 'so', 'excited']	i can hard ever rememb the audienc be so excit	5
I can see the exit .	['i', 'can', 'see', 'the', 'exit']	['i', 'can', 'see', 'the', 'exit']	i can see the exit	5
I can think of no occasion that has given me more pleasure .	['i', 'can', 'think', 'of', 'no', 'occas', 'that', 'has', 'given', 'me', 'more', 'pleasur']	['i', 'can', 'think', 'of', 'no', 'occasion', 'that', 'has', 'given', 'me', 'more', 'pleasure']	i can think of no occas that has given me more pleasur	5
I can throw this knife pretty good .	['i', 'can', 'throw', 'this', 'knife', 'pretti', 'good']	['i', 'can', 'throw', 'this', 'knife', 'pretty', 'good']	i can throw this knife pretti good	5
I can wind this one up in six weeks .	['i', 'can', 'wind', 'this', 'one', 'up', 'in', 'six', 'week']	['i', 'can', 'wind', 'this', 'one', 'up', 'in', 'six', 'weeks']	i can wind this one up in six week	5
I can't tell you how glad I am to see you .	['i', 'cant', 'tell', 'you', 'how', 'glad', 'i', 'am', 'to', 'see', 'you']	['i', 'cant', 'tell', 'you', 'how', 'glad', 'i', 'am', 'to', 'see', 'you']	i cant tell you how glad i am to see you	5
I can't tell you what a comfort that is .	['i', 'cant', 'tell', 'you', 'what', 'a', 'comfort', 'that', 'is']	['i', 'cant', 'tell', 'you', 'what', 'a', 'comfort', 'that', 'is']	i cant tell you what a comfort that is	5
I can't tell you what a welcome sight this is .	['i', 'cant', 'tell', 'you', 'what', 'a', 'welcom', 'sight', 'this', 'is']	['i', 'cant', 'tell', 'you', 'what', 'a', 'welcome', 'sight', 'this', 'is']	i cant tell you what a welcom sight this is	5
I carried you in here when you were a baby .	['i', 'carri', 'you', 'in', 'here', 'when', 'you', 'were', 'a', 'babi']	['i', 'carried', 'you', 'in', 'here', 'when', 'you', 'were', 'a', 'baby']	i carri you in here when you were a babi	5
I cheat . So does she . But I cheat better .	['i', 'cheat', 'so', 'doe', 'she', 'but', 'i', 'cheat', 'better']	['i', 'cheat', 'so', 'does', 'she', 'but', 'i', 'cheat', 'better']	i cheat so doe she but i cheat better	5
I completely agree .	['i', 'complet', 'agre']	['i', 'completely', 'agree']	i complet agre	5
I could cover you with kisses .	['i', 'could', 'cover', 'you', 'with', 'kiss']	['i', 'could', 'cover', 'you', 'with', 'kisses']	i could cover you with kiss	5
I couldn't agree with you more .	['i', 'couldnt', 'agre', 'with', 'you', 'more']	['i', 'couldnt', 'agree', 'with', 'you', 'more']	i couldnt agre with you more	8, 5
I couldn't take my eyes off of that girl and her baby .	['i', 'couldnt', 'take', 'my', 'eye', 'off', 'of', 'that', 'girl', 'and', 'her', 'babi']	['i', 'couldnt', 'take', 'my', 'eyes', 'off', 'of', 'that', 'girl', 'and', 'her', 'baby']	i couldnt take my eye off of that girl and her babi	5
I did it .	['i', 'did', 'it']	['i', 'did', 'it']	i did it	5, 6
I did that beautifully , didn't I ?	['i', 'did', 'that', 'beauti', 'didnt', 'i']	['i', 'did', 'that', 'beautifully', 'didnt', 'i']	i did that beauti didnt i	5
I do .	['i', 'do']	['i', 'do']	i do	8, 5
I don't know much about him , but I'd say he has good taste .	['i', 'dont', 'know', 'much', 'about', 'him', 'but', 'id', 'say', 'he', 'has', 'good', 'tast']	['i', 'dont', 'know', 'much', 'about', 'him', 'but', 'id', 'say', 'he', 'has', 'good', 'taste']	i dont know much about him but id say he has good tast	5
I don't know what you're training ' for , but as far as I'm concerned , you're ready . Look !	['i', 'dont', 'know', 'what', 'your', 'train', 'for', 'but', 'as', 'far', 'as', 'im', 'concern', 'your', 'readi', 'look']	['i', 'dont', 'know', 'what', 'youre', 'training', 'for', 'but', 'as', 'far', 'as', 'im', 'concerned', 'youre', 'ready', 'look']	i dont know what your train for but as far as im concern your readi look	8, 5
I don't know . We just ... became friends . And then it became more than that .	['i', 'dont', 'know', 'we', 'just', 'becam', 'friend', 'and', 'then', 'it', 'becam', 'more', 'than', 'that']	['i', 'dont', 'know', 'we', 'just', 'became', 'friends', 'and', 'then', 'it', 'became', 'more', 'than', 'that']	i dont know we just becam friend and then it becam more than that	8, 5
I don't suppose it looks like much to a lady ... but I can't help being proud of it .	['i', 'dont', 'suppos', 'it', 'look', 'like', 'much', 'to', 'a', 'ladi', 'but', 'i', 'cant', 'help', 'be', 'proud', 'of', 'it']	['i', 'dont', 'suppose', 'it', 'looks', 'like', 'much', 'to', 'a', 'lady', 'but', 'i', 'cant', 'help', 'being', 'proud', 'of', 'it']	i dont suppos it look like much to a ladi but i cant help be proud of it	5
I don't think I've ever been so thrilled in my life .	['i', 'dont', 'think', 'ive', 'ever', 'been', 'so', 'thrill', 'in', 'my', 'life']	['i', 'dont', 'think', 'ive', 'ever', 'been', 'so', 'thrilled', 'in', 'my', 'life']	i dont think ive ever been so thrill in my life	5
I don't want to see anyone or smell anyone but you .	['i', 'dont', 'want', 'to', 'see', 'anyon', 'or', 'smell', 'anyon', 'but', 'you']	['i', 'dont', 'want', 'to', 'see', 'anyone', 'or', 'smell', 'anyone', 'but', 'you']	i dont want to see anyon or smell anyon but you	8, 5
I enjoy to live .	['i', 'enjoy', 'to', 'live']	['i', 'enjoy', 'to', 'live']	i enjoy to live	5
I fed it and put it on .	['i', 'fed', 'it', 'and', 'put', 'it', 'on']	['i', 'fed', 'it', 'and', 'put', 'it', 'on']	i fed it and put it on	5
I felt all warmed and funny inside . I can't describe it .	['i', 'felt', 'all', 'warm', 'and', 'funni', 'insid', 'i', 'cant', 'describ', 'it']	['i', 'felt', 'all', 'warmed', 'and', 'funny', 'inside', 'i', 'cant', 'describe', 'it']	i felt all warm and funni insid i cant describ it	5, 7
I find myself quite interesting , really .	['i', 'find', 'myself', 'quit', 'interest', 'realli']	['i', 'find', 'myself', 'quite', 'interesting', 'really']	i find myself quit interest realli	5
I fucking love it !	['i', 'fuck', 'love', 'it']	['i', 'fucking', 'love', 'it']	i fuck love it	5
I gave him my compartment . He only had coach seats .	['i', 'gave', 'him', 'my', 'compart', 'he', 'onli', 'had', 'coach', 'seat']	['i', 'gave', 'him', 'my', 'compartment', 'he', 'only', 'had', 'coach', 'seats']	i gave him my compart he onli had coach seat	5
I got a great personality , you ask anybody .	['i', 'got', 'a', 'great', 'person', 'you', 'ask', 'anybodi']	['i', 'got', 'a', 'great', 'personality', 'you', 'ask', 'anybody']	i got a great person you ask anybodi	5
I got a new mommy and daddy and they're so nice .	['i', 'got', 'a', 'new', 'mommi', 'and', 'daddi', 'and', 'theyr', 'so', 'nice']	['i', 'got', 'a', 'new', 'mommy', 'and', 'daddy', 'and', 'theyre', 'so', 'nice']	i got a new mommi and daddi and theyr so nice	8, 5
I got a run of three .	['i', 'got', 'a', 'run', 'of', 'three']	['i', 'got', 'a', 'run', 'of', 'three']	i got a run of three	5
I got a ship to run .	['i', 'got', 'a', 'ship', 'to', 'run']	['i', 'got', 'a', 'ship', 'to', 'run']	i got a ship to run	8, 5
I got him sold , [PERSON] .	['i', 'got', 'him', 'sold', 'person']	['i', 'got', 'him', 'sold', 'person']	i got him sold person	5
I got it !	['i', 'got', 'it']	['i', 'got', 'it']	i got it	5
I got my coat back !	['i', 'got', 'my', 'coat', 'back']	['i', 'got', 'my', 'coat', 'back']	i got my coat back	5
I got myself a date .	['i', 'got', 'myself', 'a', 'date']	['i', 'got', 'myself', 'a', 'date']	i got myself a date	5
I got offered a part in a movie .	['i', 'got', 'offer', 'a', 'part', 'in', 'a', 'movi']	['i', 'got', 'offered', 'a', 'part', 'in', 'a', 'movie']	i got offer a part in a movi	5
I got that Hawaiian Sea Frontier dispatch decoded .	['i', 'got', 'that', 'hawaiian', 'sea', 'frontier', 'dispatch', 'decod']	['i', 'got', 'that', 'hawaiian', 'sea', 'frontier', 'dispatch', 'decoded']	i got that hawaiian sea frontier dispatch decod	5
I guess [PERSON] was about the prettiest , with all that long , yellow hair .	['i', 'guess', 'person', 'was', 'about', 'the', 'prettiest', 'with', 'all', 'that', 'long', 'yellow', 'hair']	['i', 'guess', 'person', 'was', 'about', 'the', 'prettiest', 'with', 'all', 'that', 'long', 'yellow', 'hair']	i guess person was about the prettiest with all that long yellow hair	5
I guess you're right .	['i', 'guess', 'your', 'right']	['i', 'guess', 'youre', 'right']	i guess your right	5
I had a grandpa . He was nice to me . He liked ties on Sundays .	['i', 'had', 'a', 'grandpa', 'he', 'was', 'nice', 'to', 'me', 'he', 'like', 'tie', 'on', 'sunday']	['i', 'had', 'a', 'grandpa', 'he', 'was', 'nice', 'to', 'me', 'he', 'liked', 'ties', 'on', 'sundays']	i had a grandpa he was nice to me he like tie on sunday	5
I had a terrific time but I'm going home .	['i', 'had', 'a', 'terrif', 'time', 'but', 'im', 'go', 'home']	['i', 'had', 'a', 'terrific', 'time', 'but', 'im', 'going', 'home']	i had a terrif time but im go home	5
