text	tokenized	preprocessed	label
Let me be the first to welcome you to this afternoon's campaign banquet .	['let', 'first', 'welcome', 'afternoons', 'campaign', 'banquet']	let first welcome afternoons campaign banquet	2
What are you doing tonight ?	['tonight']	tonight	2
We'll offer the opportunity to control every aspect of their emotional lives .	['well', 'offer', 'opportunity', 'control', 'every', 'aspect', 'emotional', 'lives']	well offer opportunity control every aspect emotional lives	8, 2
[PERSON] , I need to talk to you about a call that just came in .	['person', 'need', 'talk', 'call', 'came']	person need talk call came	4
What the fuck ?	['fuck']	fuck	1
Better let me do the talking .	['better', 'let', 'talking']	better let talking	2, 5
Get upstairs , miss .	['get', 'upstairs', 'miss']	get upstairs miss	1
Leave your celery .	['leave', 'celery']	leave celery	1
Did I hear somebody call for their old man ?	['hear', 'somebody', 'call', 'old', 'man']	hear somebody call old man	7
Ladies and gentlemen , the big event you've been waiting for .	['ladies', 'gentlemen', 'big', 'event', 'youve', 'waiting']	ladies gentlemen big event youve waiting	2
You know how I loved her , really .	['know', 'loved', 'really']	know loved really	6
I have to come all this way to tell you this ?	['come', 'way', 'tell']	come way tell	1
I'll look after him .	['ill', 'look']	ill look	8
The girls have so little time .	['girls', 'little', 'time']	girls little time	6
You too !	[]		5
[PERSON] , you of all people should understand by now that to me , they're the same thing .	['person', 'people', 'understand', 'theyre', 'thing']	person people understand theyre thing	3
Did you light the hearth in my room ?	['light', 'hearth', 'room']	light hearth room	2
Since when am I Baby ?	['since', 'baby']	since baby	1
He's signed all those deeds back to their rightful owners .	['hes', 'signed', 'deeds', 'back', 'rightful', 'owners']	hes signed deeds back rightful owners	8
Hey , is that [PERSON] ?	['hey', 'person']	hey person	7
How did you learn to fight like that ?	['learn', 'fight', 'like']	learn fight like	7
But where have I put it ?	['put']	put	7
You can take my word for it .	['take', 'word']	take word	8
You gave me your word .	['gave', 'word']	gave word	2, 4
[PERSON] is army from the anus up .	['person', 'army', 'anus']	person army anus	5
You come from somewhere and you're trying to make nothing out of yours .	['come', 'somewhere', 'youre', 'trying', 'make', 'nothing']	come somewhere youre trying make nothing	1, 3
I don't resent your not paying me for the past two months ... but the thought that I should split my bank account with you ... that you should take half of my life's savings ... that is really too much for me , sir .	['dont', 'resent', 'paying', 'past', 'two', 'months', 'thought', 'split', 'bank', 'account', 'take', 'half', 'lifes', 'savings', 'really', 'much', 'sir']	dont resent paying past two months thought split bank account take half lifes savings really much sir	3
I'm going to hit you now Ready or not , here it comes !	['im', 'going', 'hit', 'ready', 'comes']	im going hit ready comes	2, 5
Yeah , it's nice .	['yeah', 'nice']	yeah nice	5
♪ There's a lady ♪	['', 'theres', 'lady', '']	 theres lady 	2
Quiet !	['quiet']	quiet	1
Then you can handle it all .	['handle']	handle	8
Hawkins !	['hawkins']	hawkins	4
Maybe a little noisier .	['maybe', 'little', 'noisier']	maybe little noisier	3
I'd like to see an [PERSON] administration .	['id', 'like', 'see', 'person', 'administration']	id like see person administration	8, 2
There she is , my other monster .	['monster']	monster	8
Morphine syrette . Give me a morphine syrette . I got it .	['morphine', 'syrette', 'give', 'morphine', 'syrette', 'got']	morphine syrette give morphine syrette got	5
Just a moment .	['moment']	moment	2
Styles Court , totally supported by her . You . [PERSON] had been his generous benefactress .	['styles', 'court', 'totally', 'supported', 'person', 'generous', 'benefactress']	styles court totally supported person generous benefactress	8
And I give him chance to speak : I will be the soul of the discretion .	['give', 'chance', 'speak', 'soul', 'discretion']	give chance speak soul discretion	2
What ? Get off my coat !	['get', 'coat']	get coat	1, 3, 4
I mean , aside from all of this junk .	['mean', 'aside', 'junk']	mean aside junk	3
Where is everybody ?	['everybody']	everybody	7
You'll see a puff of smoke from my exhaust when I cut in the motor . That's when you hit the magic button .	['youll', 'see', 'puff', 'smoke', 'exhaust', 'cut', 'motor', 'thats', 'hit', 'magic', 'button']	youll see puff smoke exhaust cut motor thats hit magic button	6
What for ?	[]		1
Hey , look at me !	['hey', 'look']	hey look	1, 2
You start trouble , and I start bleeding .	['start', 'trouble', 'start', 'bleeding']	start trouble start bleeding	4
She went straight to the local sheriff , who , fortunately , happened to be a particularly good friend of ours .	['went', 'straight', 'local', 'sheriff', 'fortunately', 'happened', 'particularly', 'good', 'friend']	went straight local sheriff fortunately happened particularly good friend	5
What about chatting these two birds up , then ?	['chatting', 'two', 'birds']	chatting two birds	2
You'll be OK .	['youll', 'ok']	youll ok	8, 2, 5
Nice to see you again , [PERSON] .	['nice', 'see', 'person']	nice see person	5
No . Not the rangers . What'll I do ?	['rangers', 'whatll']	rangers whatll	4, 7
A lie .  	['lie']	lie	3
He knows [LOCATION] very well . So , you'll be in good hands .	['knows', 'location', 'well', 'youll', 'good', 'hands']	knows location well youll good hands	8, 5
Take care of you .	['take', 'care']	take care	2
You wan na fire me , fire me .	['wan', 'na', 'fire', 'fire']	wan na fire fire	1
Are you sure you want to escape from it ?	['sure', 'want', 'escape']	sure want escape	3, 7
How are those crackers ?	['crackers']	crackers	2
We'll work beautifully together .	['well', 'work', 'beautifully', 'together']	well work beautifully together	5
I do not know !	['know']	know	1
Get out of my way , [PERSON] .	['get', 'way', 'person']	get way person	1
Take it easy !	['take', 'easy']	take easy	8
I made reservations at [LOCATION] on [LOCATION] .	['made', 'reservations', 'location', 'location']	made reservations location location	2
I'm a three - time loser , [PERSON] .	['im', 'three', 'time', 'loser', 'person']	im three time loser person	6
I'll tell them anything !	['ill', 'tell', 'anything']	ill tell anything	4
It is a wonderful woman .	['wonderful', 'woman']	wonderful woman	5
You really want it that bad ?	['really', 'want', 'bad']	really want bad	7
Coco sounds like she caught the old man cheating again .	['coco', 'sounds', 'like', 'caught', 'old', 'man', 'cheating']	coco sounds like caught old man cheating	3
I've been aboard the [PERSON] too long .	['ive', 'aboard', 'person', 'long']	ive aboard person long	3, 6
Who says ? - It's just so , [PERSON] !	['says', 'person']	says person	1
I beg your pardon ? I leave tomorrow morning for [LOCATION] .	['beg', 'pardon', 'leave', 'tomorrow', 'morning', 'location']	beg pardon leave tomorrow morning location	1
You committed the perfect crime .	['committed', 'perfect', 'crime']	committed perfect crime	8
I can verify that .	['verify']	verify	8
Are you looking at my hands ?	['looking', 'hands']	looking hands	1
What the hell is going on here , [PERSON] ?	['hell', 'going', 'person']	hell going person	1, 7
Are you buried alive ? No .	['buried', 'alive']	buried alive	4, 7
Did you oblige him ?	['oblige']	oblige	8
Well , that's a lot of them . Whoa .	['well', 'thats', 'lot', 'whoa']	well thats lot whoa	7
I'm cold .	['im', 'cold']	im cold	6
It's a lovely night for the party .	['lovely', 'night', 'party']	lovely night party	5
Mom , you must have had a bad dream , that's all .	['mom', 'must', 'bad', 'dream', 'thats']	mom must bad dream thats	4
She really do all that dancing ?	['really', 'dancing']	really dancing	7
There may be subs out there , maybe not .	['may', 'subs', 'maybe']	may subs maybe	1, 7
You've had your trial .	['youve', 'trial']	youve trial	4
Midship damage control won't answer .	['midship', 'damage', 'control', 'wont', 'answer']	midship damage control wont answer	4
Let's roast marshmallows .	['lets', 'roast', 'marshmallows']	lets roast marshmallows	2
Maybe you'll find the explanation for his disappearance inside .	['maybe', 'youll', 'find', 'explanation', 'disappearance', 'inside']	maybe youll find explanation disappearance inside	8
Don't you want more cashews , Grandpa ?	['dont', 'want', 'cashews', 'grandpa']	dont want cashews grandpa	5
I'll bet he's gonna help us .	['ill', 'bet', 'hes', 'gonna', 'help', 'us']	ill bet hes gonna help us	8
Yeah , she'll wind up fat , alcoholic and miserable .	['yeah', 'shell', 'wind', 'fat', 'alcoholic', 'miserable']	yeah shell wind fat alcoholic miserable	3
Six months ago , who'd have thought we'd be spending Christmas together ?	['six', 'months', 'ago', 'whod', 'thought', 'wed', 'spending', 'christmas', 'together']	six months ago whod thought wed spending christmas together	7
Thank you kindly , [PERSON] .	['thank', 'kindly', 'person']	thank kindly person	8
No , because in a few hours we'll be at the [LOCATION] .	['hours', 'well', 'location']	hours well location	2
Everybody thinks they're humorous , but they're not .	['everybody', 'thinks', 'theyre', 'humorous', 'theyre']	everybody thinks theyre humorous theyre	1
I mean , I want to be something besides just a plain fighter ... even though [PERSON] is a champ and a swell guy .	['mean', 'want', 'something', 'besides', 'plain', 'fighter', 'even', 'though', 'person', 'champ', 'swell', 'guy']	mean want something besides plain fighter even though person champ swell guy	2
I asked him especially , and he told me to tell you .	['asked', 'especially', 'told', 'tell']	asked especially told tell	8, 2
You're in great danger .	['youre', 'great', 'danger']	youre great danger	4
Give us water !	['give', 'us', 'water']	give us water	4
So this is what it's gonna be , huh ?	['gonna', 'huh']	gonna huh	1
When my sister sees you she'll be so happy for me	['sister', 'sees', 'shell', 'happy']	sister sees shell happy	2, 5
[PERSON]'s depending on you , [PERSON] .	['persons', 'depending', 'person']	persons depending person	8
Well , that's good to hear .	['well', 'thats', 'good', 'hear']	well thats good hear	5
I want to talk to you guys for a second .	['want', 'talk', 'guys', 'second']	want talk guys second	2
Well , I don't give a damn about the reason .	['well', 'dont', 'give', 'damn', 'reason']	well dont give damn reason	1
No , no ! - Let's go . - It's supposed to be here !	['lets', 'go', 'supposed']	lets go supposed	1, 4
Hey , if you think I look bad , you oughta see the other guy's knuckles .	['hey', 'think', 'look', 'bad', 'oughta', 'see', 'guys', 'knuckles']	hey think look bad oughta see guys knuckles	7
Being real is a joke in your world ?	['real', 'joke', 'world']	real joke world	6
No ! - Morning hugs ?	['morning', 'hugs']	morning hugs	8, 1
The old girl's finally lost her virginity .	['old', 'girls', 'finally', 'lost', 'virginity']	old girls finally lost virginity	3
That's a terrible lot of money for a working woman to pay .	['thats', 'terrible', 'lot', 'money', 'working', 'woman', 'pay']	thats terrible lot money working woman pay	7
Just look at her . Look at the size of her .	['look', 'look', 'size']	look look size	4, 7
Now ! - Let me go !	['let', 'go']	let go	1, 4
That's where we must attack .	['thats', 'must', 'attack']	thats must attack	1
I suppose she means well .	['suppose', 'means', 'well']	suppose means well	4, 6
He's no use to no one !	['hes', 'use', 'one']	hes use one	1
What I feel towards you I'll have to feel for the rest of my life .	['feel', 'towards', 'ill', 'feel', 'rest', 'life']	feel towards ill feel rest life	6
Thank you . Good - bye .	['thank', 'good', 'bye']	thank good bye	5
But I'll speak with you later .	['ill', 'speak', 'later']	ill speak later	2
If humans forget about us nobody will think of fun things for Junior to do .	['humans', 'forget', 'us', 'nobody', 'think', 'fun', 'things', 'junior']	humans forget us nobody think fun things junior	6, 7
The finest banking mind of this country .	['finest', 'banking', 'mind', 'country']	finest banking mind country	8
You have no right .	['right']	right	1
Asking who I sleep with isn't personal anymore ? What do you want to know , if I smoke ?	['asking', 'sleep', 'isnt', 'personal', 'anymore', 'want', 'know', 'smoke']	asking sleep isnt personal anymore want know smoke	1
By the way , [PERSON] , about your car ...	['way', 'person', 'car']	way person car	6
One of the best .	['one', 'best']	one best	8, 5
She's quite right . I'll look after them for you .	['shes', 'quite', 'right', 'ill', 'look']	shes quite right ill look	8
Good heavens , these Russian names .	['good', 'heavens', 'russian', 'names']	good heavens russian names	7
Sure . I'll be right down .	['sure', 'ill', 'right']	sure ill right	8
Over here ! Give us the keys !	['give', 'us', 'keys']	give us keys	2
Will you hold this drumstick ?	['hold', 'drumstick']	hold drumstick	2
It's over . Water under the bridge .	['water', 'bridge']	water bridge	8
Let's get out of here !	['lets', 'get']	lets get	4
What's the big deal about Him suffering on earth if He knew He was going to rejoin His Father in Heaven ?	['whats', 'big', 'deal', 'suffering', 'earth', 'knew', 'going', 'rejoin', 'father', 'heaven']	whats big deal suffering earth knew going rejoin father heaven	7
Tomorrow we might be Xayide's prisoners .	['tomorrow', 'might', 'xayides', 'prisoners']	tomorrow might xayides prisoners	2
I love him , you know .	['love', 'know']	love know	8, 5
We've heard all this before !	['weve', 'heard']	weve heard	1
They're them , I'm still me .	['theyre', 'im', 'still']	theyre im still	8
His name was [PERSON] .	['name', 'person']	name person	6
It's hard . Just tell me what you need .	['hard', 'tell', 'need']	hard tell need	6
Mister , is this Heaven here or not ?	['mister', 'heaven']	mister heaven	4
What were you seeing him about ?	['seeing']	seeing	7
No , he's completely loyal to you . And you are to him .	['hes', 'completely', 'loyal']	hes completely loyal	8
We can't do this to him !	['cant']	cant	6
And in a fit of anger , I told her that our being together , our rekindled romance , was a big mistake .	['fit', 'anger', 'told', 'together', 'rekindled', 'romance', 'big', 'mistake']	fit anger told together rekindled romance big mistake	6
We've heard such wonderful things about you .	['weve', 'heard', 'wonderful', 'things']	weve heard wonderful things	5
I love you anyway .	['love', 'anyway']	love anyway	5
As long as you're here , let me show you the books ... so you can see how bad a businessman I am .	['long', 'youre', 'let', 'show', 'books', 'see', 'bad', 'businessman']	long youre let show books see bad businessman	6
Hey , what are you sleeping out here for ?	['hey', 'sleeping']	hey sleeping	2
For the first time in my life , I'm happy .	['first', 'time', 'life', 'im', 'happy']	first time life im happy	5
I don't think I should join your campaign , you know .	['dont', 'think', 'join', 'campaign', 'know']	dont think join campaign know	6
Are you confessing to this ? - Yes . I confess .	['confessing', 'yes', 'confess']	confessing yes confess	3, 6
It's back !	['back']	back	7
Something seriously wrong with us .	['something', 'seriously', 'wrong', 'us']	something seriously wrong us	4
Not one word of what he's saying is being printed in that state !	['one', 'word', 'hes', 'saying', 'printed', 'state']	one word hes saying printed state	3
But , [PERSON] , whatever it is that you're going through , we can help you , but you need to ... How the hell would you know what I need ?	['person', 'whatever', 'youre', 'going', 'help', 'need', 'hell', 'would', 'know', 'need']	person whatever youre going help need hell would know need	1
Like I'd ever tell you .	['like', 'id', 'ever', 'tell']	like id ever tell	3
John , really , I was only trying to help you out , that's all .	['john', 'really', 'trying', 'help', 'thats']	john really trying help thats	6
I wish I were free tonight .	['wish', 'free', 'tonight']	wish free tonight	6
He's a male chauvinist .	['hes', 'male', 'chauvinist']	hes male chauvinist	3
I'm worth the risk , you'll see .	['im', 'worth', 'risk', 'youll', 'see']	im worth risk youll see	2, 5
I am still jacked up . You wan na talk about a rush ?	['still', 'jacked', 'wan', 'na', 'talk', 'rush']	still jacked wan na talk rush	6
From this moment it is death to him who wears the ring .	['moment', 'death', 'wears', 'ring']	moment death wears ring	1
That's a good thing to know , [PERSON] .	['thats', 'good', 'thing', 'know', 'person']	thats good thing know person	8
You'd better hurry over there .	['youd', 'better', 'hurry']	youd better hurry	1
There's a airplane on you . - You drew an airplane on me ?	['theres', 'airplane', 'drew', 'airplane']	theres airplane drew airplane	7
Taste for fine things .	['taste', 'fine', 'things']	taste fine things	5
Perhaps I have become , as you put it , obsessed by our name and our past , and the absence of our future , and by our paintings .	['perhaps', 'become', 'put', 'obsessed', 'name', 'past', 'absence', 'future', 'paintings']	perhaps become put obsessed name past absence future paintings	1, 4, 6
I'm glad you joined us when you did .	['im', 'glad', 'joined', 'us']	im glad joined us	5
If he speaks on your behalf justice will triumph	['speaks', 'behalf', 'justice', 'triumph']	speaks behalf justice triumph	8, 2
It's going to be a long night .	['going', 'long', 'night']	going long night	6
Come on ! Come on !	['come', 'come']	come come	2
Don't worry . A couple more years , and [PERSON] will be a speed freak like us old - timers .	['dont', 'worry', 'couple', 'years', 'person', 'speed', 'freak', 'like', 'us', 'old', 'timers']	dont worry couple years person speed freak like us old timers	2
That money was going to change my life .	['money', 'going', 'change', 'life']	money going change life	1, 2, 6
Go fuck a refrigerator , pecker neck !	['go', 'fuck', 'refrigerator', 'pecker', 'neck']	go fuck refrigerator pecker neck	1
Well , I can not accuse you Of not making us comfortable , Captain .	['well', 'accuse', 'making', 'us', 'comfortable', 'captain']	well accuse making us comfortable captain	8, 5
Let's move . Come on .	['lets', 'move', 'come']	lets move come	1, 2
Do you know what that means ?	['know', 'means']	know means	2
As if he isn't going to be hurt enough , she has to twist a knife in him too .	['isnt', 'going', 'hurt', 'enough', 'twist', 'knife']	isnt going hurt enough twist knife	3
[PERSON] , give us a bit of help .	['person', 'give', 'us', 'bit', 'help']	person give us bit help	8
[PERSON] , I can't subpoena those records without a legitimate client .	['person', 'cant', 'subpoena', 'records', 'without', 'legitimate', 'client']	person cant subpoena records without legitimate client	1
He's an idiot .	['hes', 'idiot']	hes idiot	1
Don't look down !	['dont', 'look']	dont look	4
And I could get you your own key .	['could', 'get', 'key']	could get key	8
You told me you were taking me home .	['told', 'taking', 'home']	told taking home	3
What the fuck did you do , man ?	['fuck', 'man']	fuck man	1, 7
Yeah , and in this heat ... I mean , [PERSON] and barbecue !	['yeah', 'heat', 'mean', 'person', 'barbecue']	yeah heat mean person barbecue	2, 5, 7
Rocky , I'm sorry .	['rocky', 'im', 'sorry']	rocky im sorry	6
Hi . Come on , dad , let's play ! Come on , dad , please , let's play .	['hi', 'come', 'dad', 'lets', 'play', 'come', 'dad', 'please', 'lets', 'play']	hi come dad lets play come dad please lets play	2, 5, 6
I've always been in love with you .	['ive', 'always', 'love']	ive always love	5
We've got ta treat this guy like royalty .	['weve', 'got', 'ta', 'treat', 'guy', 'like', 'royalty']	weve got ta treat guy like royalty	8, 2
Man , what are you , some kind of frog - watcher ?	['man', 'kind', 'frog', 'watcher']	man kind frog watcher	3
Don't you live at home ?	['dont', 'live', 'home']	dont live home	7
Suppose I could prove it to you . Suppose I asked you for your help . Would you give it to me , without telling anybody , not saying anything to anyone ?	['suppose', 'could', 'prove', 'suppose', 'asked', 'help', 'would', 'give', 'without', 'telling', 'anybody', 'saying', 'anything', 'anyone']	suppose could prove suppose asked help would give without telling anybody saying anything anyone	7
Come on , don't be a fool .	['come', 'dont', 'fool']	come dont fool	3
It hurts !	['hurts']	hurts	1, 4, 7
Now I just drink like an Irish person .	['drink', 'like', 'irish', 'person']	drink like irish person	5, 6
I wondered why I was suddenly being treated with respect .	['wondered', 'suddenly', 'treated', 'respect']	wondered suddenly treated respect	7
Well , I no longer wish to buy your company and take it apart . I don't want anyone else to either .	['well', 'longer', 'wish', 'buy', 'company', 'take', 'apart', 'dont', 'want', 'anyone', 'else', 'either']	well longer wish buy company take apart dont want anyone else either	1
l 'm done .	['l', 'done']	l done	1
Well , uh , actually I'm just having coffee . I'm not having breakfast or anything .	['well', 'uh', 'actually', 'im', 'coffee', 'im', 'breakfast', 'anything']	well uh actually im coffee im breakfast anything	4
Everything's gonna be okay .	['everythings', 'gonna', 'okay']	everythings gonna okay	8
That's horrible .	['thats', 'horrible']	thats horrible	6
Send me to [LOCATION] .	['send', 'location']	send location	2
Surely I can give him a word of advice .	['surely', 'give', 'word', 'advice']	surely give word advice	8
I'll get in trouble !	['ill', 'get', 'trouble']	ill get trouble	4
Are you abandoning the search ?	['abandoning', 'search']	abandoning search	7
Oh , foo - foo says hello , too !	['oh', 'foo', 'foo', 'says', 'hello']	oh foo foo says hello	5
That's why it suits so many people .	['thats', 'suits', 'many', 'people']	thats suits many people	8, 5
How come you just didn't have a baby ?	['come', 'didnt', 'baby']	come didnt baby	1, 7
Mr. [PERSON] loaned me his Bible here so I could practice my reading .	['mr', 'person', 'loaned', 'bible', 'could', 'practice', 'reading']	mr person loaned bible could practice reading	8
My heart is weak , and I'm too old .	['heart', 'weak', 'im', 'old']	heart weak im old	1, 4
Look , the tone of this is so unprofessional .	['look', 'tone', 'unprofessional']	look tone unprofessional	1
I'll get even with you . I'll get even with you .	['ill', 'get', 'even', 'ill', 'get', 'even']	ill get even ill get even	1
Aren't you gonna do something ?	['arent', 'gonna', 'something']	arent gonna something	7
Let's hurry up and bury this bastard . I'm fucking knackered .	['lets', 'hurry', 'bury', 'bastard', 'im', 'fucking', 'knackered']	lets hurry bury bastard im fucking knackered	1, 3, 4
What if they trace that call ?	['trace', 'call']	trace call	4
We don't need any rush - hour Rambos there .	['dont', 'need', 'rush', 'hour', 'rambos']	dont need rush hour rambos	1
Fair enough .	['fair', 'enough']	fair enough	8
I'll go to her next Quick , give me your hand	['ill', 'go', 'next', 'quick', 'give', 'hand']	ill go next quick give hand	8
We could have one fucking good hunting trip tonight .	['could', 'one', 'fucking', 'good', 'hunting', 'trip', 'tonight']	could one fucking good hunting trip tonight	2
That puts quite a burden on the company .	['puts', 'quite', 'burden', 'company']	puts quite burden company	4
You hadn't had much contact with her , then ?	['hadnt', 'much', 'contact']	hadnt much contact	6, 7
Don't you say a word unless I ask you to .	['dont', 'say', 'word', 'unless', 'ask']	dont say word unless ask	1
Do I have to find out for yourself ?	['find']	find	1
This is a dreadful miscarriage .	['dreadful', 'miscarriage']	dreadful miscarriage	6
Just the usual complications that's all .	['usual', 'complications', 'thats']	usual complications thats	6
The committee wishes to emphasise that there is no evidence of any wider conspiracy .	['committee', 'wishes', 'emphasise', 'evidence', 'wider', 'conspiracy']	committee wishes emphasise evidence wider conspiracy	8
Badly I want you .	['badly', 'want']	badly want	8, 5
[PERSON] knows what the men want .	['person', 'knows', 'men', 'want']	person knows men want	8
Uh - ohl He's lost it nowl	['uh', 'ohl', 'hes', 'lost', 'nowl']	uh ohl hes lost nowl	4
That's a nice guitar .	['thats', 'nice', 'guitar']	thats nice guitar	5
Let me go !	['let', 'go']	let go	1, 4
I was hoping you'd be spared all this .	['hoping', 'youd', 'spared']	hoping youd spared	6
You made me remember things that I had forgotten .	['made', 'remember', 'things', 'forgotten']	made remember things forgotten	7
Why do you writers take such chances ?	['writers', 'take', 'chances']	writers take chances	7
Would that have satisfied her ? What's that ?	['would', 'satisfied', 'whats']	would satisfied whats	2
I don't like the way you're treating [PERSON] and Mammy .	['dont', 'like', 'way', 'youre', 'treating', 'person', 'mammy']	dont like way youre treating person mammy	3
A queen has no hour for love .	['queen', 'hour', 'love']	queen hour love	6
Look , I ain't no snitch , but the reason me and [PERSON] don't speak no more is because I told him he went too far with that .	['look', 'aint', 'snitch', 'reason', 'person', 'dont', 'speak', 'told', 'went', 'far']	look aint snitch reason person dont speak told went far	1, 4
Rocky's been hit with bombs .	['rockys', 'hit', 'bombs']	rockys hit bombs	4, 6
Her goddamn sister tripped and fell in the tub and she went to help .	['goddamn', 'sister', 'tripped', 'fell', 'tub', 'went', 'help']	goddamn sister tripped fell tub went help	1
Are you happy to see me ?	['happy', 'see']	happy see	2, 5
I was wondering when you'd show up .	['wondering', 'youd', 'show']	wondering youd show	1, 2, 3
We know you're sad , buddy , but you got ta go to school .	['know', 'youre', 'sad', 'buddy', 'got', 'ta', 'go', 'school']	know youre sad buddy got ta go school	6
They're both Viennese , both good men .	['theyre', 'viennese', 'good', 'men']	theyre viennese good men	8
Why don't we go and celebrate at some nice , quiet little restaurant ?	['dont', 'go', 'celebrate', 'nice', 'quiet', 'little', 'restaurant']	dont go celebrate nice quiet little restaurant	2
More fun and games ?	['fun', 'games']	fun games	1
Wonderful chef .	['wonderful', 'chef']	wonderful chef	5
We were a bit worried about you .	['bit', 'worried']	bit worried	4
Do something .	['something']	something	4
We can relax now .	['relax']	relax	5
Besides , etiquette demands that I kill him .	['besides', 'etiquette', 'demands', 'kill']	besides etiquette demands kill	2
Switch over !	['switch']	switch	4
Bless me , Father , for I have sinned . Father ?	['bless', 'father', 'sinned', 'father']	bless father sinned father	8
Good for you , [PERSON] .	['good', 'person']	good person	5
Honey , you comin' to bed ?	['honey', 'comin', 'bed']	honey comin bed	8
That gal's got you all messed up .	['gals', 'got', 'messed']	gals got messed	3
I didn't see him , but he hit me .	['didnt', 'see', 'hit']	didnt see hit	4
I think the city is saved .	['think', 'city', 'saved']	think city saved	8, 2, 5
How can he see pink ? It's a black and white picture .	['see', 'pink', 'black', 'white', 'picture']	see pink black white picture	1, 7
Trying to eliminate the human perverts .	['trying', 'eliminate', 'human', 'perverts']	trying eliminate human perverts	3
Do not be foolish !	['foolish']	foolish	1
Promise .	['promise']	promise	8, 2
Hey , you're very light on your feet .	['hey', 'youre', 'light', 'feet']	hey youre light feet	5
Good boy . Very good boy .	['good', 'boy', 'good', 'boy']	good boy good boy	8
Busy tonight ?	['busy', 'tonight']	busy tonight	2
Get lost !	['get', 'lost']	get lost	1
They're retarded .	['theyre', 'retarded']	theyre retarded	1, 3
This is really cool right here , huh ?	['really', 'cool', 'right', 'huh']	really cool right huh	5
That's some sign you got on the door out there .	['thats', 'sign', 'got', 'door']	thats sign got door	7
I think I hurt him .	['think', 'hurt']	think hurt	6
What's it gonna cost me ?	['whats', 'gonna', 'cost']	whats gonna cost	4
You seem easily impressed by numbers , captain .	['seem', 'easily', 'impressed', 'numbers', 'captain']	seem easily impressed numbers captain	3
Calm down !	['calm']	calm	8, 1
First , I want a big smile .	['first', 'want', 'big', 'smile']	first want big smile	5
Say , that's right .	['say', 'thats', 'right']	say thats right	2
This is idiotic , [PERSON] .	['idiotic', 'person']	idiotic person	1, 3
If I could only close my eyes for a few hours .	['could', 'close', 'eyes', 'hours']	could close eyes hours	6
It is the monster !	['monster']	monster	4
I'll take care of Miss [PERSON] .	['ill', 'take', 'care', 'miss', 'person']	ill take care miss person	8
The [PERSON] !	['person']	person	7
Would you like to come with me and look for her ?	['would', 'like', 'come', 'look']	would like come look	8
We can't run , so we need to find a way to tell my team where we are .	['cant', 'run', 'need', 'find', 'way', 'tell', 'team']	cant run need find way tell team	2
You're stronger than you think .	['youre', 'stronger', 'think']	youre stronger think	8
I can't think straight !	['cant', 'think', 'straight']	cant think straight	4
Oh , [PERSON] , I'm a coward .	['oh', 'person', 'im', 'coward']	oh person im coward	4
Don't try to tell me my business .	['dont', 'try', 'tell', 'business']	dont try tell business	1
You see , [PERSON] , this is a respectable business and there's nothing wrong with that .	['see', 'person', 'respectable', 'business', 'theres', 'nothing', 'wrong']	see person respectable business theres nothing wrong	8
And it's good to see you again .	['good', 'see']	good see	5
[PERSON] will never stand for it .	['person', 'never', 'stand']	person never stand	6
Why do you look at me like that ?	['look', 'like']	look like	4
She ain't got nothing on us .	['aint', 'got', 'nothing', 'us']	aint got nothing us	8, 1, 2
You spent $ , at The Capital Grille ?	['spent', 'capital', 'grille']	spent capital grille	6, 7
Don't ever try to come in between , you smart - eyed slob .	['dont', 'ever', 'try', 'come', 'smart', 'eyed', 'slob']	dont ever try come smart eyed slob	3
You know we'll do whatever we can .	['know', 'well', 'whatever']	know well whatever	8, 2, 5
I'll fly tomorrow to [LOCATION] and tell you all I know .	['ill', 'fly', 'tomorrow', 'location', 'tell', 'know']	ill fly tomorrow location tell know	8
Are you saying she was kidnapped ?	['saying', 'kidnapped']	saying kidnapped	7
He was very understanding .	['understanding']	understanding	8
I've always wanted to go to [LOCATION] .	['ive', 'always', 'wanted', 'go', 'location']	ive always wanted go location	2
Stop arguing !	['stop', 'arguing']	stop arguing	1
I feel rather sorry for him , don't you ?	['feel', 'rather', 'sorry', 'dont']	feel rather sorry dont	6
Come back , here !	['come', 'back']	come back	1
Yet you let [PERSON] know you'd drag it in at any opportunity .	['yet', 'let', 'person', 'know', 'youd', 'drag', 'opportunity']	yet let person know youd drag opportunity	1, 3
Oh , no . That won't do .	['oh', 'wont']	oh wont	1, 3
Isn't this a school day ?	['isnt', 'school', 'day']	isnt school day	7
It feels wonderful !	['feels', 'wonderful']	feels wonderful	5
How about the Gobernador ?	['gobernador']	gobernador	2
I love tits as much as any guy ... . . but why would I pay some hag money for some supernatural chicanery ... . . coupled with sagging , wrinkled boobs ?	['love', 'tits', 'much', 'guy', 'would', 'pay', 'hag', 'money', 'supernatural', 'chicanery', 'coupled', 'sagging', 'wrinkled', 'boobs']	love tits much guy would pay hag money supernatural chicanery coupled sagging wrinkled boobs	3
We are looters , we are not murderers .	['looters', 'murderers']	looters murderers	1
I just thought I'd drop by and cheer you up a bit .	['thought', 'id', 'drop', 'cheer', 'bit']	thought id drop cheer bit	5
Dear , it's no good feeling sorry for yourself .	['dear', 'good', 'feeling', 'sorry']	dear good feeling sorry	8, 5
I'm going to be okay .	['im', 'going', 'okay']	im going okay	8, 2
You're a trained killer !	['youre', 'trained', 'killer']	youre trained killer	3
