text	text_nopunct	text_downcase	tokenized	nostop	lemmatized	label
Oh , [PERSON] , [PERSON] , it's happening .	Oh  PERSON  PERSON  its happening	oh  person  person  its happening	['oh', 'person', 'person', 'its', 'happening']	['oh', 'person', 'person', 'happening']	['oh', 'person', 'person', 'happening']	4
Bomb !	Bomb	bomb	['bomb']	['bomb']	['bomb']	4
I'll do that .	Ill do that	ill do that	['ill', 'do', 'that']	['ill']	['ill']	8, 5
Thank you for all your help tonight .	Thank you for all your help tonight	thank you for all your help tonight	['thank', 'you', 'for', 'all', 'your', 'help', 'tonight']	['thank', 'help', 'tonight']	['thank', 'help', 'tonight']	5
You see , my new , beautiful wife is violently jealous .	You see  my new  beautiful wife is violently jealous	you see  my new  beautiful wife is violently jealous	['you', 'see', 'my', 'new', 'beautiful', 'wife', 'is', 'violently', 'jealous']	['see', 'new', 'beautiful', 'wife', 'violently', 'jealous']	['see', 'new', 'beautiful', 'wife', 'violently', 'jealous']	5
Do we have eyes inside , [PERSON] ?	Do we have eyes inside  PERSON	do we have eyes inside  person	['do', 'we', 'have', 'eyes', 'inside', 'person']	['eyes', 'inside', 'person']	['eye', 'inside', 'person']	2
We all have that fear .	We all have that fear	we all have that fear	['we', 'all', 'have', 'that', 'fear']	['fear']	['fear']	8, 4
I think it's about time we go out there , don't you ?	I think its about time we go out there  dont you	i think its about time we go out there  dont you	['i', 'think', 'its', 'about', 'time', 'we', 'go', 'out', 'there', 'dont', 'you']	['think', 'time', 'go', 'dont']	['think', 'time', 'go', 'dont']	8, 5
Helping me . This isn't helpful .	Helping me  This isnt helpful	helping me  this isnt helpful	['helping', 'me', 'this', 'isnt', 'helpful']	['helping', 'isnt', 'helpful']	['helping', 'isnt', 'helpful']	1
Not necessarily , this country plays tricks with the eyes .	Not necessarily  this country plays tricks with the eyes	not necessarily  this country plays tricks with the eyes	['not', 'necessarily', 'this', 'country', 'plays', 'tricks', 'with', 'the', 'eyes']	['necessarily', 'country', 'plays', 'tricks', 'eyes']	['necessarily', 'country', 'play', 'trick', 'eye']	1, 6
Do me a favor will ya , thank your mother for me ?	Do me a favor will ya  thank your mother for me	do me a favor will ya  thank your mother for me	['do', 'me', 'a', 'favor', 'will', 'ya', 'thank', 'your', 'mother', 'for', 'me']	['favor', 'ya', 'thank', 'mother']	['favor', 'ya', 'thank', 'mother']	8, 5
Now try winning a game for a change !	Now try winning a game for a change	now try winning a game for a change	['now', 'try', 'winning', 'a', 'game', 'for', 'a', 'change']	['try', 'winning', 'game', 'change']	['try', 'winning', 'game', 'change']	1
Sometimes it's hard for us to understand the Lord's ways .	Sometimes its hard for us to understand the Lords ways	sometimes its hard for us to understand the lords ways	['sometimes', 'its', 'hard', 'for', 'us', 'to', 'understand', 'the', 'lords', 'ways']	['sometimes', 'hard', 'us', 'understand', 'lords', 'ways']	['sometimes', 'hard', 'u', 'understand', 'lord', 'way']	6
Also , I'm in love . I. . . I'd like to get married .	Also  Im in love  I   Id like to get married	also  im in love  i   id like to get married	['also', 'im', 'in', 'love', 'i', 'id', 'like', 'to', 'get', 'married']	['also', 'im', 'love', 'id', 'like', 'get', 'married']	['also', 'im', 'love', 'id', 'like', 'get', 'married']	8, 5
[PERSON] , this is a fairly young guy .	PERSON  this is a fairly young guy	person  this is a fairly young guy	['person', 'this', 'is', 'a', 'fairly', 'young', 'guy']	['person', 'fairly', 'young', 'guy']	['person', 'fairly', 'young', 'guy']	7
You're lying .	Youre lying	youre lying	['youre', 'lying']	['youre', 'lying']	['youre', 'lying']	3
But before that I wrote him lovingly many times .	But before that I wrote him lovingly many times	but before that i wrote him lovingly many times	['but', 'before', 'that', 'i', 'wrote', 'him', 'lovingly', 'many', 'times']	['wrote', 'lovingly', 'many', 'times']	['wrote', 'lovingly', 'many', 'time']	5
You know , with them new suits they're makin' , I bet they helping ' the sun tan oil sales ... all that skin to cover .	You know  with them new suits theyre makin  I bet they helping  the sun tan oil sales  all that skin to cover	you know  with them new suits theyre makin  i bet they helping  the sun tan oil sales  all that skin to cover	['you', 'know', 'with', 'them', 'new', 'suits', 'theyre', 'makin', 'i', 'bet', 'they', 'helping', 'the', 'sun', 'tan', 'oil', 'sales', 'all', 'that', 'skin', 'to', 'cover']	['know', 'new', 'suits', 'theyre', 'makin', 'bet', 'helping', 'sun', 'tan', 'oil', 'sales', 'skin', 'cover']	['know', 'new', 'suit', 'theyre', 'makin', 'bet', 'helping', 'sun', 'tan', 'oil', 'sale', 'skin', 'cover']	3
I'll tell you how I first met your mother .	Ill tell you how I first met your mother	ill tell you how i first met your mother	['ill', 'tell', 'you', 'how', 'i', 'first', 'met', 'your', 'mother']	['ill', 'tell', 'first', 'met', 'mother']	['ill', 'tell', 'first', 'met', 'mother']	2, 5
I concluded that this was not an objective study .	I concluded that this was not an objective study	i concluded that this was not an objective study	['i', 'concluded', 'that', 'this', 'was', 'not', 'an', 'objective', 'study']	['concluded', 'objective', 'study']	['concluded', 'objective', 'study']	6, 7
You're probably not interested .	Youre probably not interested	youre probably not interested	['youre', 'probably', 'not', 'interested']	['youre', 'probably', 'interested']	['youre', 'probably', 'interested']	2, 6
[PERSON] ? How'd I get here ?	PERSON  Howd I get here	person  howd i get here	['person', 'howd', 'i', 'get', 'here']	['person', 'howd', 'get']	['person', 'howd', 'get']	4
We're really gonna have a great time .	Were really gonna have a great time	were really gonna have a great time	['were', 'really', 'gonna', 'have', 'a', 'great', 'time']	['really', 'gonna', 'great', 'time']	['really', 'gonna', 'great', 'time']	2
Come to the beach tomorrow .	Come to the beach tomorrow	come to the beach tomorrow	['come', 'to', 'the', 'beach', 'tomorrow']	['come', 'beach', 'tomorrow']	['come', 'beach', 'tomorrow']	2
I'm really sorry , Mr. [PERSON] .	Im really sorry  Mr PERSON	im really sorry  mr person	['im', 'really', 'sorry', 'mr', 'person']	['im', 'really', 'sorry', 'mr', 'person']	['im', 'really', 'sorry', 'mr', 'person']	6
You're an operator , not a policymaker . Get used to it .	Youre an operator  not a policymaker  Get used to it	youre an operator  not a policymaker  get used to it	['youre', 'an', 'operator', 'not', 'a', 'policymaker', 'get', 'used', 'to', 'it']	['youre', 'operator', 'policymaker', 'get', 'used']	['youre', 'operator', 'policymaker', 'get', 'used']	3
I'm trying to find some peace with this and you're not helping .	Im trying to find some peace with this and youre not helping	im trying to find some peace with this and youre not helping	['im', 'trying', 'to', 'find', 'some', 'peace', 'with', 'this', 'and', 'youre', 'not', 'helping']	['im', 'trying', 'find', 'peace', 'youre', 'helping']	['im', 'trying', 'find', 'peace', 'youre', 'helping']	1
You will , [PERSON] , you will .	You will  PERSON  you will	you will  person  you will	['you', 'will', 'person', 'you', 'will']	['person']	['person']	1, 2
[PERSON] , that's very generous of you .	PERSON  thats very generous of you	person  thats very generous of you	['person', 'thats', 'very', 'generous', 'of', 'you']	['person', 'thats', 'generous']	['person', 'thats', 'generous']	5
You seem personally invested in this .	You seem personally invested in this	you seem personally invested in this	['you', 'seem', 'personally', 'invested', 'in', 'this']	['seem', 'personally', 'invested']	['seem', 'personally', 'invested']	2, 7
The fact that you don't drink at all , [PERSON] , is the greatest argument for drunkenness I know .	The fact that you dont drink at all  PERSON  is the greatest argument for drunkenness I know	the fact that you dont drink at all  person  is the greatest argument for drunkenness i know	['the', 'fact', 'that', 'you', 'dont', 'drink', 'at', 'all', 'person', 'is', 'the', 'greatest', 'argument', 'for', 'drunkenness', 'i', 'know']	['fact', 'dont', 'drink', 'person', 'greatest', 'argument', 'drunkenness', 'know']	['fact', 'dont', 'drink', 'person', 'greatest', 'argument', 'drunkenness', 'know']	1, 2, 5
And it would tell what we would most like to know .	And it would tell what we would most like to know	and it would tell what we would most like to know	['and', 'it', 'would', 'tell', 'what', 'we', 'would', 'most', 'like', 'to', 'know']	['would', 'tell', 'would', 'like', 'know']	['would', 'tell', 'would', 'like', 'know']	2
Could you send up champagne and strawberries ? Of course .	Could you send up champagne and strawberries  Of course	could you send up champagne and strawberries  of course	['could', 'you', 'send', 'up', 'champagne', 'and', 'strawberries', 'of', 'course']	['could', 'send', 'champagne', 'strawberries', 'course']	['could', 'send', 'champagne', 'strawberry', 'course']	2
I saw those guys coming towards [PERSON]'s house just before we got out .	I saw those guys coming towards PERSONs house just before we got out	i saw those guys coming towards persons house just before we got out	['i', 'saw', 'those', 'guys', 'coming', 'towards', 'persons', 'house', 'just', 'before', 'we', 'got', 'out']	['saw', 'guys', 'coming', 'towards', 'persons', 'house', 'got']	['saw', 'guy', 'coming', 'towards', 'person', 'house', 'got']	1, 4
I went through all his papers very carefully .	I went through all his papers very carefully	i went through all his papers very carefully	['i', 'went', 'through', 'all', 'his', 'papers', 'very', 'carefully']	['went', 'papers', 'carefully']	['went', 'paper', 'carefully']	8
You have till five o'clock .	You have till five oclock	you have till five oclock	['you', 'have', 'till', 'five', 'oclock']	['till', 'five', 'oclock']	['till', 'five', 'oclock']	3
I didn't come here for grief counseling . I came for my inheritance .	I didnt come here for grief counseling  I came for my inheritance	i didnt come here for grief counseling  i came for my inheritance	['i', 'didnt', 'come', 'here', 'for', 'grief', 'counseling', 'i', 'came', 'for', 'my', 'inheritance']	['didnt', 'come', 'grief', 'counseling', 'came', 'inheritance']	['didnt', 'come', 'grief', 'counseling', 'came', 'inheritance']	3, 6
He missed the turn .	He missed the turn	he missed the turn	['he', 'missed', 'the', 'turn']	['missed', 'turn']	['missed', 'turn']	1
l don't want to hurt a cop .	l dont want to hurt a cop	l dont want to hurt a cop	['l', 'dont', 'want', 'to', 'hurt', 'a', 'cop']	['l', 'dont', 'want', 'hurt', 'cop']	['l', 'dont', 'want', 'hurt', 'cop']	4, 6
Maybe they're buddies after all .	Maybe theyre buddies after all	maybe theyre buddies after all	['maybe', 'theyre', 'buddies', 'after', 'all']	['maybe', 'theyre', 'buddies']	['maybe', 'theyre', 'buddy']	7
You have any idea what you're doing to that poor woman ?	You have any idea what youre doing to that poor woman	you have any idea what youre doing to that poor woman	['you', 'have', 'any', 'idea', 'what', 'youre', 'doing', 'to', 'that', 'poor', 'woman']	['idea', 'youre', 'poor', 'woman']	['idea', 'youre', 'poor', 'woman']	1
I'm trapped , [LOCATION] .	Im trapped  LOCATION	im trapped  location	['im', 'trapped', 'location']	['im', 'trapped', 'location']	['im', 'trapped', 'location']	4
You don't have any messages for me , do you ?	You dont have any messages for me  do you	you dont have any messages for me  do you	['you', 'dont', 'have', 'any', 'messages', 'for', 'me', 'do', 'you']	['dont', 'messages']	['dont', 'message']	2
You place an absurd value On the cheapest of human commodities .	You place an absurd value On the cheapest of human commodities	you place an absurd value on the cheapest of human commodities	['you', 'place', 'an', 'absurd', 'value', 'on', 'the', 'cheapest', 'of', 'human', 'commodities']	['place', 'absurd', 'value', 'cheapest', 'human', 'commodities']	['place', 'absurd', 'value', 'cheapest', 'human', 'commodity']	1, 3, 7
I can tell the occupation of a man by looking at him .	I can tell the occupation of a man by looking at him	i can tell the occupation of a man by looking at him	['i', 'can', 'tell', 'the', 'occupation', 'of', 'a', 'man', 'by', 'looking', 'at', 'him']	['tell', 'occupation', 'man', 'looking']	['tell', 'occupation', 'man', 'looking']	8
With your brain and my strength , there is nothing we can not do .	With your brain and my strength  there is nothing we can not do	with your brain and my strength  there is nothing we can not do	['with', 'your', 'brain', 'and', 'my', 'strength', 'there', 'is', 'nothing', 'we', 'can', 'not', 'do']	['brain', 'strength', 'nothing']	['brain', 'strength', 'nothing']	8
The [PERSON] whose testimony nearly sunk us all .	The PERSON whose testimony nearly sunk us all	the person whose testimony nearly sunk us all	['the', 'person', 'whose', 'testimony', 'nearly', 'sunk', 'us', 'all']	['person', 'whose', 'testimony', 'nearly', 'sunk', 'us']	['person', 'whose', 'testimony', 'nearly', 'sunk', 'u']	3
We were just telling some old war stories .	We were just telling some old war stories	we were just telling some old war stories	['we', 'were', 'just', 'telling', 'some', 'old', 'war', 'stories']	['telling', 'old', 'war', 'stories']	['telling', 'old', 'war', 'story']	5
Listen , I've got something for you .	Listen  Ive got something for you	listen  ive got something for you	['listen', 'ive', 'got', 'something', 'for', 'you']	['listen', 'ive', 'got', 'something']	['listen', 'ive', 'got', 'something']	8
The kid hates me .	The kid hates me	the kid hates me	['the', 'kid', 'hates', 'me']	['kid', 'hates']	['kid', 'hate']	6
There were others . Most of them are still with me .	There were others  Most of them are still with me	there were others  most of them are still with me	['there', 'were', 'others', 'most', 'of', 'them', 'are', 'still', 'with', 'me']	['others', 'still']	['others', 'still']	8
You wan na say some more , you ugly bastard ?	You wan na say some more  you ugly bastard	you wan na say some more  you ugly bastard	['you', 'wan', 'na', 'say', 'some', 'more', 'you', 'ugly', 'bastard']	['wan', 'na', 'say', 'ugly', 'bastard']	['wan', 'na', 'say', 'ugly', 'bastard']	3
On the Polhemus thing , what the fuck is happening to the fingerprints report ?	On the Polhemus thing  what the fuck is happening to the fingerprints report	on the polhemus thing  what the fuck is happening to the fingerprints report	['on', 'the', 'polhemus', 'thing', 'what', 'the', 'fuck', 'is', 'happening', 'to', 'the', 'fingerprints', 'report']	['polhemus', 'thing', 'fuck', 'happening', 'fingerprints', 'report']	['polhemus', 'thing', 'fuck', 'happening', 'fingerprint', 'report']	1
You see kiddo , you can barely taste the alcohol . Go ahead and finish it .	You see kiddo  you can barely taste the alcohol  Go ahead and finish it	you see kiddo  you can barely taste the alcohol  go ahead and finish it	['you', 'see', 'kiddo', 'you', 'can', 'barely', 'taste', 'the', 'alcohol', 'go', 'ahead', 'and', 'finish', 'it']	['see', 'kiddo', 'barely', 'taste', 'alcohol', 'go', 'ahead', 'finish']	['see', 'kiddo', 'barely', 'taste', 'alcohol', 'go', 'ahead', 'finish']	2, 5
Oh , I needed that .	Oh  I needed that	oh  i needed that	['oh', 'i', 'needed', 'that']	['oh', 'needed']	['oh', 'needed']	2, 5
You must have had a happy childhood .	You must have had a happy childhood	you must have had a happy childhood	['you', 'must', 'have', 'had', 'a', 'happy', 'childhood']	['must', 'happy', 'childhood']	['must', 'happy', 'childhood']	5
Get out while we're still ahead and alive .	Get out while were still ahead and alive	get out while were still ahead and alive	['get', 'out', 'while', 'were', 'still', 'ahead', 'and', 'alive']	['get', 'still', 'ahead', 'alive']	['get', 'still', 'ahead', 'alive']	4
Why don't you go play the piano ?	Why dont you go play the piano	why dont you go play the piano	['why', 'dont', 'you', 'go', 'play', 'the', 'piano']	['dont', 'go', 'play', 'piano']	['dont', 'go', 'play', 'piano']	2
He's light - skinned , he loves his kids .	Hes light  skinned  he loves his kids	hes light  skinned  he loves his kids	['hes', 'light', 'skinned', 'he', 'loves', 'his', 'kids']	['hes', 'light', 'skinned', 'loves', 'kids']	['he', 'light', 'skinned', 'love', 'kid']	5
Mom's right , [PERSON] ,	Moms right  PERSON	moms right  person	['moms', 'right', 'person']	['moms', 'right', 'person']	['mom', 'right', 'person']	8
What I see is what I see ... We'll do what we can , Mr. [PERSON] .	What I see is what I see  Well do what we can  Mr PERSON	what i see is what i see  well do what we can  mr person	['what', 'i', 'see', 'is', 'what', 'i', 'see', 'well', 'do', 'what', 'we', 'can', 'mr', 'person']	['see', 'see', 'well', 'mr', 'person']	['see', 'see', 'well', 'mr', 'person']	1
You ready for some eggs and grits ?	You ready for some eggs and grits	you ready for some eggs and grits	['you', 'ready', 'for', 'some', 'eggs', 'and', 'grits']	['ready', 'eggs', 'grits']	['ready', 'egg', 'grit']	2
What if I just lean back like this ? Would you rescue me if I fell ?	What if I just lean back like this  Would you rescue me if I fell	what if i just lean back like this  would you rescue me if i fell	['what', 'if', 'i', 'just', 'lean', 'back', 'like', 'this', 'would', 'you', 'rescue', 'me', 'if', 'i', 'fell']	['lean', 'back', 'like', 'would', 'rescue', 'fell']	['lean', 'back', 'like', 'would', 'rescue', 'fell']	8, 6
May I see it ?	May I see it	may i see it	['may', 'i', 'see', 'it']	['may', 'see']	['may', 'see']	2
So anyway , I wan na tell everybody that the flight over was really nice .	So anyway  I wan na tell everybody that the flight over was really nice	so anyway  i wan na tell everybody that the flight over was really nice	['so', 'anyway', 'i', 'wan', 'na', 'tell', 'everybody', 'that', 'the', 'flight', 'over', 'was', 'really', 'nice']	['anyway', 'wan', 'na', 'tell', 'everybody', 'flight', 'really', 'nice']	['anyway', 'wan', 'na', 'tell', 'everybody', 'flight', 'really', 'nice']	5
Move , I tell you .	Move  I tell you	move  i tell you	['move', 'i', 'tell', 'you']	['move', 'tell']	['move', 'tell']	1
You can just fucking die , you fuck .	You can just fucking die  you fuck	you can just fucking die  you fuck	['you', 'can', 'just', 'fucking', 'die', 'you', 'fuck']	['fucking', 'die', 'fuck']	['fucking', 'die', 'fuck']	3
The boy won't give me the eagle .	The boy wont give me the eagle	the boy wont give me the eagle	['the', 'boy', 'wont', 'give', 'me', 'the', 'eagle']	['boy', 'wont', 'give', 'eagle']	['boy', 'wont', 'give', 'eagle']	1, 7
Get your ass movin' !	Get your ass movin	get your ass movin	['get', 'your', 'ass', 'movin']	['get', 'ass', 'movin']	['get', 'as', 'movin']	1
Where do you get those wonderful toys ?	Where do you get those wonderful toys	where do you get those wonderful toys	['where', 'do', 'you', 'get', 'those', 'wonderful', 'toys']	['get', 'wonderful', 'toys']	['get', 'wonderful', 'toy']	5
Now , isn't that a charming invitation ?	Now  isnt that a charming invitation	now  isnt that a charming invitation	['now', 'isnt', 'that', 'a', 'charming', 'invitation']	['isnt', 'charming', 'invitation']	['isnt', 'charming', 'invitation']	5
Look , your mother is here .	Look  your mother is here	look  your mother is here	['look', 'your', 'mother', 'is', 'here']	['look', 'mother']	['look', 'mother']	5
Father [PERSON] is an old friend .	Father PERSON is an old friend	father person is an old friend	['father', 'person', 'is', 'an', 'old', 'friend']	['father', 'person', 'old', 'friend']	['father', 'person', 'old', 'friend']	8
Silence !	Silence	silence	['silence']	['silence']	['silence']	3
There'll be no more talk of the captain being crazy .	Therell be no more talk of the captain being crazy	therell be no more talk of the captain being crazy	['therell', 'be', 'no', 'more', 'talk', 'of', 'the', 'captain', 'being', 'crazy']	['therell', 'talk', 'captain', 'crazy']	['therell', 'talk', 'captain', 'crazy']	1, 3
We've always embraced the very things for which others have burned you at the stake .	Weve always embraced the very things for which others have burned you at the stake	weve always embraced the very things for which others have burned you at the stake	['weve', 'always', 'embraced', 'the', 'very', 'things', 'for', 'which', 'others', 'have', 'burned', 'you', 'at', 'the', 'stake']	['weve', 'always', 'embraced', 'things', 'others', 'burned', 'stake']	['weve', 'always', 'embraced', 'thing', 'others', 'burned', 'stake']	1, 3, 4, 5, 8
Don't worry about a thing .	Dont worry about a thing	dont worry about a thing	['dont', 'worry', 'about', 'a', 'thing']	['dont', 'worry', 'thing']	['dont', 'worry', 'thing']	8
Look , forget about her for a second and get in here .	Look  forget about her for a second and get in here	look  forget about her for a second and get in here	['look', 'forget', 'about', 'her', 'for', 'a', 'second', 'and', 'get', 'in', 'here']	['look', 'forget', 'second', 'get']	['look', 'forget', 'second', 'get']	8, 2
He was here two weeks before I knew he'd moved in .	He was here two weeks before I knew hed moved in	he was here two weeks before i knew hed moved in	['he', 'was', 'here', 'two', 'weeks', 'before', 'i', 'knew', 'hed', 'moved', 'in']	['two', 'weeks', 'knew', 'hed', 'moved']	['two', 'week', 'knew', 'hed', 'moved']	7
It hasn't been easy , has it ?	It hasnt been easy  has it	it hasnt been easy  has it	['it', 'hasnt', 'been', 'easy', 'has', 'it']	['hasnt', 'easy']	['hasnt', 'easy']	6
Will you leave me a few for a room and something to eat ?	Will you leave me a few for a room and something to eat	will you leave me a few for a room and something to eat	['will', 'you', 'leave', 'me', 'a', 'few', 'for', 'a', 'room', 'and', 'something', 'to', 'eat']	['leave', 'room', 'something', 'eat']	['leave', 'room', 'something', 'eat']	8
I am warning about you , [PERSON] ,	I am warning about you  PERSON	i am warning about you  person	['i', 'am', 'warning', 'about', 'you', 'person']	['warning', 'person']	['warning', 'person']	1
It ended very badly .	It ended very badly	it ended very badly	['it', 'ended', 'very', 'badly']	['ended', 'badly']	['ended', 'badly']	6
A man's got ta live up to his word .	A mans got ta live up to his word	a mans got ta live up to his word	['a', 'mans', 'got', 'ta', 'live', 'up', 'to', 'his', 'word']	['mans', 'got', 'ta', 'live', 'word']	['man', 'got', 'ta', 'live', 'word']	8, 2, 6
No , no , no .	No  no  no	no  no  no	['no', 'no', 'no']	[]	[]	4, 6
I also love the King .	I also love the King	i also love the king	['i', 'also', 'love', 'the', 'king']	['also', 'love', 'king']	['also', 'love', 'king']	8, 5
Turns out my life hasn't been my own for the last years .	Turns out my life hasnt been my own for the last years	turns out my life hasnt been my own for the last years	['turns', 'out', 'my', 'life', 'hasnt', 'been', 'my', 'own', 'for', 'the', 'last', 'years']	['turns', 'life', 'hasnt', 'last', 'years']	['turn', 'life', 'hasnt', 'last', 'year']	6
I've been waiting days for that slow boat of yours to come in !	Ive been waiting days for that slow boat of yours to come in	ive been waiting days for that slow boat of yours to come in	['ive', 'been', 'waiting', 'days', 'for', 'that', 'slow', 'boat', 'of', 'yours', 'to', 'come', 'in']	['ive', 'waiting', 'days', 'slow', 'boat', 'come']	['ive', 'waiting', 'day', 'slow', 'boat', 'come']	1
What he would do one day , he would gladly undo the next .	What he would do one day  he would gladly undo the next	what he would do one day  he would gladly undo the next	['what', 'he', 'would', 'do', 'one', 'day', 'he', 'would', 'gladly', 'undo', 'the', 'next']	['would', 'one', 'day', 'would', 'gladly', 'undo', 'next']	['would', 'one', 'day', 'would', 'gladly', 'undo', 'next']	3
Imagine getting gussied up like this to watch a lot of Supreme Court judges chew .	Imagine getting gussied up like this to watch a lot of Supreme Court judges chew	imagine getting gussied up like this to watch a lot of supreme court judges chew	['imagine', 'getting', 'gussied', 'up', 'like', 'this', 'to', 'watch', 'a', 'lot', 'of', 'supreme', 'court', 'judges', 'chew']	['imagine', 'getting', 'gussied', 'like', 'watch', 'lot', 'supreme', 'court', 'judges', 'chew']	['imagine', 'getting', 'gussied', 'like', 'watch', 'lot', 'supreme', 'court', 'judge', 'chew']	3
That's a lot of love , to give up the money he's making .	Thats a lot of love  to give up the money hes making	thats a lot of love  to give up the money hes making	['thats', 'a', 'lot', 'of', 'love', 'to', 'give', 'up', 'the', 'money', 'hes', 'making']	['thats', 'lot', 'love', 'give', 'money', 'hes', 'making']	['thats', 'lot', 'love', 'give', 'money', 'he', 'making']	7
The celebrated list .	The celebrated list	the celebrated list	['the', 'celebrated', 'list']	['celebrated', 'list']	['celebrated', 'list']	2
Don't be angry .	Dont be angry	dont be angry	['dont', 'be', 'angry']	['dont', 'angry']	['dont', 'angry']	4
These are my friends .	These are my friends	these are my friends	['these', 'are', 'my', 'friends']	['friends']	['friend']	8
I don't have casual affairs .	I dont have casual affairs	i dont have casual affairs	['i', 'dont', 'have', 'casual', 'affairs']	['dont', 'casual', 'affairs']	['dont', 'casual', 'affair']	6, 7
This is where the fun starts .	This is where the fun starts	this is where the fun starts	['this', 'is', 'where', 'the', 'fun', 'starts']	['fun', 'starts']	['fun', 'start']	8, 2, 5
But how do you know that if you weren't there ?	But how do you know that if you werent there	but how do you know that if you werent there	['but', 'how', 'do', 'you', 'know', 'that', 'if', 'you', 'werent', 'there']	['know', 'werent']	['know', 'werent']	7
As far as discretion goes , what were you and [PERSON] doing , comparing notes ?	As far as discretion goes  what were you and PERSON doing  comparing notes	as far as discretion goes  what were you and person doing  comparing notes	['as', 'far', 'as', 'discretion', 'goes', 'what', 'were', 'you', 'and', 'person', 'doing', 'comparing', 'notes']	['far', 'discretion', 'goes', 'person', 'comparing', 'notes']	['far', 'discretion', 'go', 'person', 'comparing', 'note']	7
For chrissake , where did she come up with [PERSON] ?	For chrissake  where did she come up with PERSON	for chrissake  where did she come up with person	['for', 'chrissake', 'where', 'did', 'she', 'come', 'up', 'with', 'person']	['chrissake', 'come', 'person']	['chrissake', 'come', 'person']	1
That's a weapon in your world ?	Thats a weapon in your world	thats a weapon in your world	['thats', 'a', 'weapon', 'in', 'your', 'world']	['thats', 'weapon', 'world']	['thats', 'weapon', 'world']	7
Not your boychick , yeah ?	Not your boychick  yeah	not your boychick  yeah	['not', 'your', 'boychick', 'yeah']	['boychick', 'yeah']	['boychick', 'yeah']	1, 5
Well , I can't understand that .	Well  I cant understand that	well  i cant understand that	['well', 'i', 'cant', 'understand', 'that']	['well', 'cant', 'understand']	['well', 'cant', 'understand']	1
The show goes on in five minutes !	The show goes on in five minutes	the show goes on in five minutes	['the', 'show', 'goes', 'on', 'in', 'five', 'minutes']	['show', 'goes', 'five', 'minutes']	['show', 'go', 'five', 'minute']	2
I think somebody's been daubing these cards .	I think somebodys been daubing these cards	i think somebodys been daubing these cards	['i', 'think', 'somebodys', 'been', 'daubing', 'these', 'cards']	['think', 'somebodys', 'daubing', 'cards']	['think', 'somebody', 'daubing', 'card']	1, 4
Welcome to [LOCATION] , ma'am .	Welcome to LOCATION  maam	welcome to location  maam	['welcome', 'to', 'location', 'maam']	['welcome', 'location', 'maam']	['welcome', 'location', 'maam']	5
The way you've ignored us , you wouldn't think so .	The way youve ignored us  you wouldnt think so	the way youve ignored us  you wouldnt think so	['the', 'way', 'youve', 'ignored', 'us', 'you', 'wouldnt', 'think', 'so']	['way', 'youve', 'ignored', 'us', 'wouldnt', 'think']	['way', 'youve', 'ignored', 'u', 'wouldnt', 'think']	3
Just to sit here with him is a very great honour for me .	Just to sit here with him is a very great honour for me	just to sit here with him is a very great honour for me	['just', 'to', 'sit', 'here', 'with', 'him', 'is', 'a', 'very', 'great', 'honour', 'for', 'me']	['sit', 'great', 'honour']	['sit', 'great', 'honour']	5
I just don't fit behind a desk , I I'm not cut out for it , I feel dry - docked .	I just dont fit behind a desk  I Im not cut out for it  I feel dry  docked	i just dont fit behind a desk  i im not cut out for it  i feel dry  docked	['i', 'just', 'dont', 'fit', 'behind', 'a', 'desk', 'i', 'im', 'not', 'cut', 'out', 'for', 'it', 'i', 'feel', 'dry', 'docked']	['dont', 'fit', 'behind', 'desk', 'im', 'cut', 'feel', 'dry', 'docked']	['dont', 'fit', 'behind', 'desk', 'im', 'cut', 'feel', 'dry', 'docked']	3, 6
At that point , I pulled out the phone book and I started contacting attorneys .	At that point  I pulled out the phone book and I started contacting attorneys	at that point  i pulled out the phone book and i started contacting attorneys	['at', 'that', 'point', 'i', 'pulled', 'out', 'the', 'phone', 'book', 'and', 'i', 'started', 'contacting', 'attorneys']	['point', 'pulled', 'phone', 'book', 'started', 'contacting', 'attorneys']	['point', 'pulled', 'phone', 'book', 'started', 'contacting', 'attorney']	2, 5
You're not usually so slow on the uptake , [PERSON] .	Youre not usually so slow on the uptake  PERSON	youre not usually so slow on the uptake  person	['youre', 'not', 'usually', 'so', 'slow', 'on', 'the', 'uptake', 'person']	['youre', 'usually', 'slow', 'uptake', 'person']	['youre', 'usually', 'slow', 'uptake', 'person']	7
Yeah , probably he don't gonna run , which I don't name him a top jock to ride him .	Yeah  probably he dont gonna run  which I dont name him a top jock to ride him	yeah  probably he dont gonna run  which i dont name him a top jock to ride him	['yeah', 'probably', 'he', 'dont', 'gonna', 'run', 'which', 'i', 'dont', 'name', 'him', 'a', 'top', 'jock', 'to', 'ride', 'him']	['yeah', 'probably', 'dont', 'gonna', 'run', 'dont', 'name', 'top', 'jock', 'ride']	['yeah', 'probably', 'dont', 'gonna', 'run', 'dont', 'name', 'top', 'jock', 'ride']	6
Oh , that bullshit again ?	Oh  that bullshit again	oh  that bullshit again	['oh', 'that', 'bullshit', 'again']	['oh', 'bullshit']	['oh', 'bullshit']	1, 3
I just don't want to see anybody hurt .	I just dont want to see anybody hurt	i just dont want to see anybody hurt	['i', 'just', 'dont', 'want', 'to', 'see', 'anybody', 'hurt']	['dont', 'want', 'see', 'anybody', 'hurt']	['dont', 'want', 'see', 'anybody', 'hurt']	6
